"Name","CompanyName"
"AutoAdapter.DuckTyping.PowerShell","carrvo"
"AutoBrowse","Start-Automating"
"autoBuild","mmeade"
"autographps","adamedx"
"autographps-sdk","adamedx"
"Autoload","Jaykul"
"Autologon","GraceSolutions"
"AutomaTD","DollarUnderscore"
"automate","trevor"
"AutomateAPI","Gavsto"
"AutomatedLab","Raimund,AutomatedLabTeam"
"AutomatedLab.Common","Raimund,nyanhp,AutomatedLabTeam"
"AutomatedLab.Recipe","AutomatedLabTeam"
"AutomatedLab.Ships","AutomatedLabTeam"
"AutomatedLab.Utils","steviecoaster"
"AutomatedLabCore","AutomatedLabTeam"
"AutomatedLabDefinition","Raimund,AutomatedLabTeam"
"AutomatedLabNotifications","Raimund,AutomatedLabTeam"
"AutomatedLabTest","AutomatedLabTeam"
"AutomatedLabUnattended","Raimund,AutomatedLabTeam"
"AutomatedLabWorker","Raimund,AutomatedLabTeam"
"AutomateNOW","AutomateNOW-Fan"
"AutoMatePS","AutomatePS"
"AutomatePS.Health","AutomatePS"
"AutomaticMaintenance","Fozzy"
"Automation.Database","rneeft"
"AutomationAnywhere","carlosevp"
"AutomationUtils","archmachina"
"AutomatiserarSE","Ispep"
"Automatos.Common","Automatos-Admin"
"Autonance","claudiospizzi"
"AutoPatchDSC","chmadole"
"AutoPilotModule","Onne"
"AutopilotOOBE","Segura"
"AutopilotPartner","Onslivion"
"AutopilotQuick","Carbun"
"Autopilottestattestation","RudyOoms"
"AutopilotUtility","MTNiehaus"
"AutoRek.IT","AutoRek.IT"
"AutoReport","scott-epperly"
"AutoRest","Fred"
"AutoRuns","Emin"
"Autotask","klemmestad"
"AutoTaskAPI","Lime-TeGek"
"AutotaskBeta","klemmestad"
"AutoTaskEndpointManagement","wetling"
"AutotaskOCH","kristofferoch"
"AutotaskRestAPI","SergLGP"
"AutoVars","beefarino"
"AutoWebCreds","pldmgg"
"AuvikAPI","Celerium"
"AvalaraCmdlets","CData"
"Avanade.ArmTools","cspeers"
"Avanade.AsmTools","cspeers"
"Avanade.Azure.Models","cspeers"
"Avanade.AzureAD","cspeers"
"Avanade.AzureAD.Graph","cspeers"
"Avanade.AzureReports","cspeers"
